new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,2,2,1,0,0,512,5,136.47555942265598
1,1,1,0,1,0,4096,0,136.39421067844452
1,1,2,1,1,0,4096,0,136.60222937462822
0,2,2,2,1,0,2048,5,137.07076662245186
0,0,2,0,0,0,512,0,137.766210593127
1,0,2,2,0,1,4096,0,138.65154256501472
1,2,2,0,1,1,2048,1,139.6877236967218
1,1,2,1,0,1,512,0,140.83506326120212
0,2,2,0,0,1,2048,1,142.05452113651026
0,2,1,0,0,1,512,1,143.30890103288783
0,2,1,0,1,0,1024,1,144.5638961094099
1,2,2,0,0,1,512,9,145.7889551107657
1,0,2,1,0,0,4096,0,146.95794470372203
1,2,2,0,0,0,4096,1,148.0495920417817
0,2,2,1,0,1,512,5,149.04770043301664
0,2,1,0,1,1,512,9,149.94114000660713
0,0,2,0,1,0,4096,0,150.72362413494213
0,2,2,2,0,1,4096,5,151.39329073873165
1,0,2,1,0,0,1024,0,151.95211516485497
1,0,2,0,0,0,4096,0,152.40518778884223
1,2,1,0,0,0,1024,5,152.75989460147298
1,2,1,0,0,0,2048,9,153.02504258508333
0,2,2,1,0,0,1024,9,153.20997351952707
1,1,2,0,0,1,4096,0,153.3237098937037
0,2,2,2,1,0,512,1,153.37417481803152
1,2,2,2,0,1,512,1,153.36752428899612
1,1,1,0,0,0,1024,0,153.30762497227886
0,2,2,2,0,0,2048,1,153.19570403676576
1,2,1,0,1,1,4096,1,153.0301897403231
0,2,1,0,0,0,1024,5,152.80675274502437
1,2,1,0,1,1,1024,9,152.5185488721086
1,2,1,0,1,1,512,5,152.1566545721332
0,2,2,0,0,0,512,9,151.71067717505875
1,0,2,0,1,0,4096,0,151.16951338903672
1,2,2,0,0,1,1024,5,150.52222190932562
0,2,2,0,0,1,2048,5,149.75896972136866
0,1,2,1,1,0,2048,0,148.8720070285447
0,2,2,1,1,0,4096,1,147.8566229386765
0,2,2,0,0,1,1024,1,146.71203326536315
0,2,1,0,0,1,4096,9,145.44215312153992
1,0,1,0,1,0,2048,0,144.05621039853713
1,2,2,1,1,0,2048,9,142.5691616417861
1,2,2,0,1,1,2048,5,141.00187907568034
1,0,2,0,0,1,1024,0,139.38108633572753
0,0,2,0,0,1,1024,0,137.73903050502759
0,2,2,2,0,0,4096,5,136.11288893358224
0,2,1,0,1,1,1024,5,134.54392060757093
1,1,2,0,1,0,2048,0,133.0763830685494
1,2,2,2,0,1,2048,5,131.75624658784784
0,1,1,0,0,1,2048,0,130.6297470184288
0,1,2,2,0,1,2048,0,129.74182704475075
0,2,2,0,1,0,512,5,129.13452204966705
1,2,2,1,1,1,512,9,128.84535120131906
1,2,2,1,0,0,4096,5,128.90577639864495
0,2,1,0,0,1,512,9,129.3397912603965
0,1,1,0,1,0,4096,0,130.16269935877077
0,2,2,2,0,1,1024,5,131.38013544846925
0,0,1,0,1,1,4096,0,132.9873756923914
0,1,2,1,1,1,1024,0,134.96897310205767
0,2,1,0,1,1,1024,9,137.2987429493961
1,2,2,0,1,0,1024,1,139.9401101979245
0,2,1,0,1,0,4096,1,142.84681753616505
1,2,2,1,0,0,1024,1,145.96397890462805
0,2,1,0,0,0,1024,1,149.22945003838882
0,2,1,0,0,0,4096,5,152.57547504408328
1,0,2,1,0,0,1024,0,155.9305569095939
0,2,2,0,0,0,1024,1,159.22149057382697
1,2,1,0,1,0,512,5,162.3754901600806
1,0,2,0,1,0,1024,0,165.3223375095182
0,2,2,1,1,0,1024,5,167.99647744968877
1,2,2,2,0,0,512,5,170.33898639399447
0,0,2,2,1,1,2048,0,172.29934487189448
1,2,2,2,0,0,4096,9,173.83695129977386
1,0,2,2,0,1,512,0,174.92232346962732
0,2,1,0,0,1,1024,5,175.53794550485867
1,2,2,2,0,1,4096,1,175.67873096840245
1,2,1,0,0,0,1024,5,175.35208689580222
1,2,2,0,0,1,2048,1,174.5775782026575
0,2,1,0,1,0,512,5,173.38620659334788
1,2,2,1,1,1,1024,1,171.8193321858442
1,2,1,0,1,1,1024,9,169.9272789987408
0,2,1,0,0,0,2048,9,167.76767670194906
0,2,1,0,0,1,2048,1,165.40360016210383
1,2,2,1,0,0,1024,5,162.9015749571504
0,2,2,2,0,1,512,9,160.329520936027
1,2,2,0,0,1,512,9,157.7547069189043
0,2,2,2,1,1,2048,9,155.241787753102
0,2,1,0,0,0,512,9,152.85099026429913
1,2,2,0,1,0,1024,5,150.63650739487056
0,2,2,2,0,1,4096,1,148.64515033235463
0,2,2,0,1,1,2048,5,146.91529712622358
0,2,2,0,1,0,1024,1,145.4761636703955
0,1,1,0,0,1,512,0,144.34740954535573
1,2,2,2,0,1,2048,5,143.5390776489549
0,0,2,0,0,1,1024,0,143.0518533832416
1,2,2,1,0,0,2048,5,142.8776169672779
0,2,2,2,0,1,2048,1,143.00025172591498
0,2,2,1,0,0,2048,1,143.3966624043494
0,0,2,2,0,1,2048,0,144.03795102994266
0,2,2,2,1,1,1024,5,144.89069383243748
1,1,2,1,1,0,4096,0,145.91826137092707
1,0,2,0,1,0,1024,0,147.08212530834908
0,1,2,0,0,1,2048,0,148.34309910765032
0,2,2,0,1,0,2048,5,149.66246606772816
1,2,2,0,0,0,4096,1,151.00295623633863
1,2,2,2,1,1,4096,9,152.32954340668974
0,2,2,0,1,1,4096,5,153.61004413054363
1,0,2,2,1,1,512,0,154.8155119235285
0,2,2,1,1,0,1024,5,155.9204310377017
0,2,1,0,0,1,4096,9,156.90272477784376
0,2,2,1,1,0,1024,1,157.74360281930598
0,2,2,1,0,1,4096,9,158.42727988129946
0,2,2,1,0,0,2048,5,158.9406040343605
0,2,2,1,0,0,4096,1,159.27263658627712
0,2,2,2,1,1,1024,9,159.41422672091085
0,2,1,0,0,1,2048,9,159.35762280386263
1,2,2,1,0,1,4096,9,159.09615858671523
1,2,2,0,0,1,2048,1,158.62404662807728
1,2,2,2,0,0,4096,1,157.9363034084925
0,2,1,0,0,1,1024,1,157.02882125049192
0,2,2,0,0,1,1024,5,155.89859174847587
1,2,2,0,1,0,2048,5,154.5440745077042
1,2,2,0,0,0,2048,9,152.96569416197477
1,1,2,0,0,0,1024,0,151.16643846522615
0,1,2,1,0,1,512,0,149.1525212900567
1,2,1,0,0,0,1024,9,146.93406712258246
0,0,2,2,0,0,512,0,144.52576854930797
0,2,1,0,1,0,4096,9,141.94746562141503
0,2,2,2,1,1,512,9,139.22459607347508
0,0,2,0,0,1,2048,0,136.38846825756218
0,2,2,1,1,0,1024,5,133.47631428585296
1,0,2,2,1,1,1024,0,130.5310890754642
1,0,2,2,1,0,2048,0,127.60099144923171
0,0,1,0,1,1,512,0,124.73869573823283
0,1,2,1,0,1,2048,0,122.00029592856829
1,1,2,1,1,1,4096,0,119.44397869077231
0,2,2,1,1,1,1024,9,117.12845596822172
1,2,2,0,1,0,512,9,115.11120150186407
1,0,2,1,1,1,4096,0,113.44654806191153
1,1,1,0,1,1,2048,0,112.18371261194709
0,0,1,0,1,1,1024,0,111.3648245857221
0,1,2,0,0,1,2048,0,111.0230374470454
1,1,2,0,0,0,512,0,111.1808053838702
1,0,2,1,1,1,1024,0,111.84840515271475
1,2,2,1,1,1,2048,1,113.02277768363865
1,1,2,2,0,1,4096,0,114.68675518084821
0,1,1,0,1,0,4096,0,116.80872736750699
1,0,2,2,1,0,4096,0,119.3427856317011
0,0,2,1,1,1,512,0,122.22936667385314
0,2,2,0,0,0,1024,1,125.39639848752059
0,2,1,0,0,0,512,9,128.76093186603782
1,2,2,0,1,0,2048,9,132.23122091448477
1,2,1,0,0,0,4096,9,135.70919708140437
0,2,1,0,1,1,4096,1,139.09326381795066
1,1,1,0,1,0,2048,0,142.28132388821456
1,2,2,1,0,0,1024,9,145.17393927843335
1,2,2,1,1,0,4096,5,147.67751515974746
1,2,2,2,1,1,4096,5,149.7073948879006
0,2,2,2,1,1,512,9,151.1907528553419
0,2,2,1,0,0,4096,9,152.06917625639048
0,1,1,0,1,0,2048,0,152.3008354151108
1,2,2,1,0,1,1024,5,151.86215500985972
1,1,1,0,0,0,2048,0,150.74891488812003
1,0,2,0,0,1,4096,0,148.97672862365948
1,2,2,2,0,0,1024,5,146.5808698136982
1,2,2,2,0,0,512,9,143.615439527641
0,0,2,1,1,0,512,0,140.15189240688198
1,2,1,0,0,0,512,5,136.27696274362154
1,0,2,2,1,0,1024,0,132.0900545002095
1,2,2,2,0,1,512,5,127.70017977023139
0,2,2,2,1,1,2048,9,123.22254780260482
0,1,2,2,0,1,1024,0,118.7749206919206
1,1,2,0,0,1,4096,0,114.47386160105404
1,2,2,1,0,0,4096,5,110.43100650640935
1,2,2,2,0,1,512,1,106.74949070262235
1,0,2,0,0,1,1024,0,103.5206566233046
1,1,2,2,1,0,4096,0,100.82116007225208
0,2,2,1,0,0,4096,9,98.7105780490291
0,0,2,1,0,1,1024,0,97.22960350373373
0,1,2,1,0,1,512,0,96.39889123433271
0,1,2,1,0,0,512,0,96.21859554285253
0,1,2,0,0,0,2048,0,96.66861508953345
0,2,2,2,0,1,2048,1,97.70953458591005
0,1,2,2,1,0,2048,0,99.28422753329566
1,1,2,0,0,1,512,0,101.32006011344855
0,1,2,0,1,1,1024,0,103.73161449246528
1,2,2,2,1,1,2048,5,106.42383103817367
1,0,1,0,1,1,1024,0,109.29545398560889
0,2,2,2,0,1,4096,1,112.24265447611934
1,2,2,2,0,0,512,1,115.1626990345908
0,1,2,1,1,0,2048,0,117.95753064252489
1,2,1,0,0,1,2048,9,120.53713362626176
0,0,2,1,1,1,4096,0,122.82256243156229
1,2,2,0,0,0,4096,5,124.74852763623353
1,1,2,1,1,0,4096,0,126.26544973105105
1,2,2,2,1,0,4096,9,127.34091159875064
0,2,2,2,0,1,4096,9,127.96046344498819
1,0,2,2,1,0,4096,0,128.12775830042406
0,1,2,1,1,0,2048,0,127.86402118404946
0,1,1,0,1,0,2048,0,127.20687964407935
1,0,2,1,1,0,4096,0,126.2086067458595
1,2,2,0,0,0,2048,5,124.9338487859002
1,1,2,2,1,0,1024,0,123.45692829816275
0,2,2,2,0,0,2048,5,121.85882762421527
0,2,2,2,1,1,4096,5,120.22396892842401
1,0,1,0,0,1,1024,0,118.63691270106014
0,2,1,0,1,0,2048,1,117.17909832819568
0,0,2,2,0,1,1024,0,115.92574721814907
1,1,2,2,1,1,1024,0,114.94304143654689
1,0,2,2,1,1,512,0,114.2856791588454
1,1,2,0,1,0,2048,0,113.99489299419892
1,1,2,0,0,0,2048,0,114.09699899104783
1,0,2,1,1,1,1024,0,114.60252362922121
0,1,2,2,0,1,1024,0,115.50593413593913
1,0,2,0,1,0,512,0,116.78597487588895
0,1,2,2,0,0,1024,0,118.40659020946973
1,0,2,2,0,1,4096,0,120.31839291554537
1,0,2,1,1,0,1024,0,122.46061780807001
1,2,2,0,1,0,2048,9,124.76348322917234
1,1,2,1,0,0,1024,0,127.15086925668625
0,2,2,1,1,1,4096,1,129.54321117643508
0,2,1,0,1,1,4096,1,131.86050035193458
0,2,1,0,1,0,4096,9,134.02528223940087
1,2,2,0,0,1,1024,1,135.965542953913
0,0,2,0,0,1,2048,0,137.6173813534221
0,2,1,0,0,0,1024,9,138.92737279030578
1,2,2,1,1,0,1024,5,139.85454307771352
0,1,2,2,0,0,4096,0,140.371886313966
1,0,2,0,0,0,512,0,140.46737740021356
0,1,2,2,0,1,512,0,140.14444871009266
0,2,2,0,0,1,2048,1,139.42191972534766
0,2,2,0,0,1,4096,1,138.33338782967837
1,2,2,0,1,1,1024,5,136.92610716333704
1,2,2,0,1,0,1024,9,135.2593998345328
0,0,1,0,0,1,512,0,133.40265927656938
1,2,1,0,0,1,2048,5,131.43301863202754
0,1,1,0,1,1,1024,0,129.43276733692844
0,0,2,2,0,1,512,0,127.48660627931743
0,1,2,0,0,1,1024,0,125.67883584639068
0,1,2,1,0,0,1024,0,124.0905718003964
0,2,1,0,0,0,2048,1,122.79708130205266
1,1,2,1,1,0,1024,0,121.86532570841716
0,2,2,2,0,0,2048,1,121.35178828842446
1,2,1,0,1,0,4096,9,121.30065408977102
0,0,2,0,1,0,512,0,121.74239629322487
1,2,2,2,1,0,4096,1,122.69280899624684
0,0,2,0,1,1,512,0,124.15251100315535
0,2,2,0,0,0,1024,9,126.1069294052451
0,2,2,2,0,0,512,9,128.52675604858084
1,1,2,2,1,1,2048,0,131.3688549247791
1,0,1,0,0,0,1024,0,134.57758455738036
1,2,2,2,0,0,2048,9,138.0864870166326
1,1,2,1,1,1,512,0,141.82028463670858
0,2,2,0,1,1,512,1,145.69711711526253
0,0,2,2,0,1,2048,0,149.63094564889738
1,2,2,0,1,1,2048,9,153.5340472188007
1,2,2,2,1,0,512,5,157.3195211235848
1,0,2,1,0,1,1024,0,160.90373131458233
0,0,2,1,1,0,2048,0,164.2086118991004
1,0,1,0,0,0,1024,0,167.1637691464474
1,2,2,2,1,1,4096,5,169.708321206395
1,2,1,0,1,0,1024,5,171.7924262264761
0,0,2,2,1,0,512,0,173.3784602908637
0,2,2,1,0,0,2048,1,174.44181823062894
0,0,1,0,0,0,1024,0,174.97132248967472
0,2,2,2,0,1,4096,5,174.969237487008
1,2,2,2,1,1,2048,1,174.4508989178435
0,0,2,1,1,0,4096,0,173.44397882681642
1,2,2,2,1,0,2048,1,171.9874177392834
1,2,1,0,0,0,1024,5,170.1300643621293
1,2,2,0,0,1,1024,1,167.92907111925106
0,2,2,2,0,1,1024,1,165.44809987475884
1,0,2,1,0,1,2048,0,162.7553964788029
0,2,1,0,1,0,2048,5,159.92179516308178
1,2,1,0,0,0,2048,1,157.01871428896555
1,2,1,0,1,0,1024,5,154.11620354068117
0,2,2,1,0,1,4096,1,151.28109944337575
1,2,2,1,0,1,1024,9,148.57534120618706
1,0,2,2,0,1,512,0,146.0544925250326
1,2,2,0,0,0,4096,9,143.76650735047573
1,2,2,0,1,1,1024,5,141.7507689883786
0,0,2,0,0,1,2048,0,140.03742253709336
1,2,2,1,0,0,2048,1,138.64701087493702
0,2,2,0,0,0,2048,1,137.59041450561583
1,1,1,0,0,0,2048,0,136.86908585796365
